SOx,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
CRE,3.253543191,3.312444361,3.384794649,3.422138489,3.551765482,3.657305252,3.783488368,3.907812353,4.082925928,4.226261326,4.339922702,4.477581979,4.642973198,4.724363958,5.010227162,5.14239288,5.441055489,5.915405203,6.315290508,6.863321538,7.129584931,7.783798694,8.275940986,8.382989915,12.39405617,12.54360282,12.75732762,11.5987032
ICI,51.7539,53.9301,65.3959,66.3391,74.126,65.2286,68.5349,63.9271,58.7089,53.4907,62.8715,56.63705,50.4026,59.60532,68.80804,51.8396,40.1046,28.3696,54.2178,52.5908,50.9638,519.7759849,546.1318249,499.7646869,524.8688205,519.7709174,540.9624294,490.1554294
MUI,872.1709717,1214.434673,1191.400082,1328.345223,1332.881072,1346.244293,1340.563412,1050.355217,1089.757264,1180.654763,1152.198774,1130.070518,1190.7286,1250.750869,1249.98224,1172.78511,1007.138297,847.7160835,795.9269063,780.9045881,851.670471,405.1386887,542.2937039,406.5810008,419.1180883,442.2281164,446.069389,545.7758
OIU,1029.648768,1029.648768,1029.648768,1029.648768,1029.648768,1029.648768,1029.648768,1029.648768,1029.648768,1029.648768,1029.648768,1029.572308,1029.495848,1029.419388,1029.342928,1029.266468,1110.366242,1208.539965,1292.347066,1407.453519,1407.453519,1220.614375,1220.614375,1163.972375,1578.90425,1500.96735,1516.1073,1516.1073
CIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRC,,,,,,0.006803,0.006779,0.006754,0.00673,0.006705,0.006714,0.006372,0.005778,0.005791,0.008589,0.008589,0.0087945,0.009,0.0094,,,,,,,,,
GSU,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCHI,,0.029,0.029,0.029,0.029,0.005,0.004282206,0.004443635,0.004615919,0.005072116,0.005,0.003653123,0.003054127,0.002540974,0.0018884,0.001,,,,,,,,,,,,
MEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
