pm10,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AGR,926407.0426,926234.0455,919341.2116,919694.5572,947197.0328,945814.1518,921874.1627,1042662.625,946303.4385,983112.4577,1052051.144,1007130.638,1000841.382,1001580.965,998572.9861,849991.4363,844005.4072,818069.4434,1017316.363,1108755.723,1088270.008,1095669.207,1095667.724,1120767.508,879405.2072,817620.9122,818228.0848,818461.4486
COO,1757254.437,1486505.909,1390846.422,1462107.354,1373095.933,1517395.163,1535237.504,1493199.246,1375943.133,1685999.036,1317538.651,1605799.925,1982306.879,1015892.072,1139006.514,968934.6386,978571.2894,833181.3561,910641.2331,934726.8871,1001674.98,1243395.4,1533678.459,1804735.77,1421393.082,1936326.986,2147247.671,2147247.671
DFPR,411200.2357,426209.0045,435876.6721,448535.0238,460980.5589,469940.6852,473021.0106,473208.423,490099.3415,502909.4296,505876.9694,492185.0666,510577.8239,522553.2604,545375.1221,556563.3137,569247.9747,571608.7102,582037.1055,593504.7079,610053.1172,622604.6967,635156.2763,647707.8558,660259.4354,672811.0149,680030.171,687249.327
DFUR,1784337.947,1843562.969,1808294.5,1830360.936,1868968.025,1902064.233,1911486.778,1907569.347,1981276.051,2054104.411,1998217.926,1927187.132,2044222.225,2122802.421,2190163.967,2241142.788,2323643.846,2344595.482,2396228.541,2455975.358,2529410.127,2597406.049,2711108.14,2787405.417,2837591.183,2909864,2960380,3050572.974
DFCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,528.3374577
WAS,3029.408484,3061.137689,3107.137652,3541.98998,3532.87964,2995.88086,2953.3618,3033.716975,3133.383615,3246.607453,3373.750766,3098.236585,2944.973069,2683.674028,2553.848235,2321.434429,1533.9979,2107.551445,2146.40315,1943.215166,2121.061786,2892.524362,2794.088548,2775.381268,2728.955252,2852.638915,2849.163728,3311.322434
MIT,4606.90291,4757.948908,4637.11211,4757.948908,4757.948908,4682.425909,4531.379912,4531.379912,4531.379912,4531.379912,2750.285305,4841.715674,4841.715674,4841.715674,4841.715674,4893.539546,2323.075157,1350.016125,1647.01039,1209.593477,2332.014573,2637.278294,2637.278294,2637.278294,2637.278294,2637.278294,2637.278294,2637.278294
PRB,82399.50604,23584.556,96716.82305,23584.556,23584.556,80129.1942,45160.175,27818.3405,44096.3585,42037.509,44037.811,17005.2205,27525.9133,23724.19662,21070.57594,15943.60923,11177.37323,7111.778055,5396.636885,4093.797195,3020.725244,2525.53776,1305.9695,3236.42,10134.84,3446.84,4703.32,7638.3155
BIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOF,,,,,,,,,,,,,,,,,,,,,,,,,,,,
